probs,horizon,age
4.839999973773956299e-01,0.000000000000000000e+00,7.600000000000000000e+03
5.009999871253967285e-01,0.000000000000000000e+00,7.700000000000000000e+03
5.149999856948852539e-01,0.000000000000000000e+00,7.800000000000000000e+03
4.970000088214874268e-01,0.000000000000000000e+00,7.900000000000000000e+03
4.900000095367431641e-01,0.000000000000000000e+00,8.000000000000000000e+03
4.699999988079071045e-01,0.000000000000000000e+00,8.100000000000000000e+03
4.959999918937683105e-01,0.000000000000000000e+00,8.200000000000000000e+03
5.059999823570251465e-01,0.000000000000000000e+00,8.300000000000000000e+03
4.990000128746032715e-01,0.000000000000000000e+00,8.400000000000000000e+03
4.779999852180480957e-01,0.000000000000000000e+00,8.500000000000000000e+03
5.090000033378601074e-01,0.000000000000000000e+00,8.600000000000000000e+03
4.779999852180480957e-01,0.000000000000000000e+00,8.700000000000000000e+03
4.799999892711639404e-01,0.000000000000000000e+00,8.800000000000000000e+03
5.049999952316284180e-01,0.000000000000000000e+00,8.900000000000000000e+03
4.839999973773956299e-01,0.000000000000000000e+00,9.000000000000000000e+03
4.810000061988830566e-01,0.000000000000000000e+00,9.100000000000000000e+03
5.090000033378601074e-01,0.000000000000000000e+00,9.200000000000000000e+03
5.270000100135803223e-01,0.000000000000000000e+00,9.300000000000000000e+03
4.889999926090240479e-01,0.000000000000000000e+00,9.400000000000000000e+03
5.220000147819519043e-01,0.000000000000000000e+00,9.500000000000000000e+03
4.769999980926513672e-01,0.000000000000000000e+00,9.600000000000000000e+03
4.970000088214874268e-01,0.000000000000000000e+00,9.700000000000000000e+03
5.070000290870666504e-01,0.000000000000000000e+00,9.800000000000000000e+03
5.279999971389770508e-01,0.000000000000000000e+00,9.900000000000000000e+03
3.939999938011169434e-01,1.000000000000000000e+00,1.000000000000000000e+02
4.930000007152557373e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.990000128746032715e-01,1.000000000000000000e+00,3.000000000000000000e+02
4.589999914169311523e-01,1.000000000000000000e+00,4.000000000000000000e+02
5.130000114440917969e-01,1.000000000000000000e+00,5.000000000000000000e+02
4.950000047683715820e-01,1.000000000000000000e+00,6.000000000000000000e+02
4.860000014305114746e-01,1.000000000000000000e+00,7.000000000000000000e+02
4.880000054836273193e-01,1.000000000000000000e+00,8.000000000000000000e+02
4.819999933242797852e-01,1.000000000000000000e+00,9.000000000000000000e+02
5.239999890327453613e-01,1.000000000000000000e+00,1.000000000000000000e+03
5.080000162124633789e-01,1.000000000000000000e+00,1.100000000000000000e+03
4.970000088214874268e-01,1.000000000000000000e+00,1.200000000000000000e+03
