probs,horizon,age
1.999999955296516418e-02,1.000000000000000000e+00,6.800000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,6.900000000000000000e+03
1.600000075995922089e-02,1.000000000000000000e+00,7.000000000000000000e+03
3.200000151991844177e-02,1.000000000000000000e+00,7.100000000000000000e+03
9.999999776482582092e-03,1.000000000000000000e+00,7.200000000000000000e+03
1.200000010430812836e-02,1.000000000000000000e+00,7.300000000000000000e+03
1.200000010430812836e-02,1.000000000000000000e+00,7.400000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,7.500000000000000000e+03
2.899999916553497314e-02,1.000000000000000000e+00,7.600000000000000000e+03
3.400000184774398804e-02,1.000000000000000000e+00,7.700000000000000000e+03
1.400000043213367462e-02,1.000000000000000000e+00,7.800000000000000000e+03
2.199999988079071045e-02,1.000000000000000000e+00,7.900000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,8.000000000000000000e+03
1.899999938905239105e-02,1.000000000000000000e+00,8.100000000000000000e+03
2.700000070035457611e-02,1.000000000000000000e+00,8.200000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,8.300000000000000000e+03
3.200000151991844177e-02,1.000000000000000000e+00,8.400000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,8.500000000000000000e+03
1.400000043213367462e-02,1.000000000000000000e+00,8.600000000000000000e+03
1.600000075995922089e-02,1.000000000000000000e+00,8.700000000000000000e+03
1.099999994039535522e-02,1.000000000000000000e+00,8.800000000000000000e+03
2.800000086426734924e-02,1.000000000000000000e+00,8.900000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,9.000000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,9.100000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,9.200000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,9.300000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,9.400000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,9.500000000000000000e+03
2.600000053644180298e-02,1.000000000000000000e+00,9.600000000000000000e+03
2.600000053644180298e-02,1.000000000000000000e+00,9.700000000000000000e+03
1.200000010430812836e-02,1.000000000000000000e+00,9.800000000000000000e+03
2.400000020861625671e-02,1.000000000000000000e+00,9.900000000000000000e+03
